SampleID,Rep,DateStart,RichLevel,Inhibitory,qPCR_bact_log10,CV_log10,Richness,inhibRich,inhibRichFrac,inhibProp,inhibReads,shannon,qPCR_bact_log10_inhib,Inhib,inhibProp_raw,inhibRichFrac_raw,Bd_micro_log10,Bd_qPCR_log10,Centre_qPCR_bact_log10,Centre_CV_log10,Centre_Richness,Centre_inhibRich,Centre_inhibRichFrac,Centre_inhibProp,Centre_inhibReads,Centre_shannon,Centre_qPCR_bact_log10_inhib
Con_2020-08-31_0_Rep1,Rep1,2020-08-31,0,0,-2.127644372,-0.3176129177,-2.297297297,-0.6891891892,-0.2540540541,-0.2731568157,-0.2643020059,-0.4945882851,-0.08500091972,0,0,0,1.836089365,2.633928352,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Inhib_2020-08-31_1_Rep1,Rep1,2020-08-31,1,1,0.08604461182,-0.1162921516,0.7027027027,1.310810811,0.4126126126,0.004135869663,-0.0288795587,0.4135969843,0.006814568337,1,0.2772926854,0.6666666667,0.602363551,1.779132556,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Inhib_2020-08-31_3_Rep1,Rep1,2020-08-31,3,1,1.20039458,0.536783486,0.7027027027,1.310810811,0.4126126126,0.2305085803,0.2242685361,0.2706985716,0.08776850057,1,0.503665396,0.6666666667,0.1462437025,3.623987951,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Non_2020-08-31_1_Rep1,Rep1,2020-08-31,1,0,-1.256243894,-0.4880626462,-1.297297297,-0.6891891892,-0.2540540541,-0.2731568157,-0.2643020059,-0.4945882851,-0.08500091972,0,0,0,3.225972172,4.019275318,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Non_2020-08-31_3_Rep1,Rep1,2020-08-31,3,0,-0.2998063666,-0.4578289186,-1.297297297,-0.6891891892,-0.2540540541,-0.2731568157,-0.2643020059,-0.4945882851,-0.08500091972,0,0,0,3.284132765,4.174984,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Non_2020-08-31_10_Rep1,Rep1,2020-08-31,10,0,0.9633484579,-0.5168264459,5.702702703,-0.6891891892,-0.2540540541,-0.2731568157,-0.2643020059,1.074554563,-0.08500091972,0,0,0,1.261645402,3.711603539,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Con_2020-09-28_0_Rep10,Rep10,2020-09-28,0,0,-2.134959304,-0.4643679804,-2.297297297,-0.6891891892,-0.2540540541,-0.2731568157,-0.2643020059,-0.4945882851,-0.08500091972,0,0,0,3.055017397,4.114469735,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Inhib_2020-09-28_1_Rep10,Rep10,2020-09-28,1,1,0.9986945551,0.6296112472,-1.297297297,-0.6891891892,-0.2540540541,-0.2731568157,-0.2643020059,-0.4945882851,-0.08500091972,0,0,0,0,3.044021374,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Inhib_2020-09-28_3_Rep10,Rep10,2020-09-28,3,1,0.3374279866,0.6518500524,-0.2972972973,0.3108108108,0.2459459459,0.7101906035,0.7125629464,0.1650410049,0.2109760822,1,0.9833474192,0.5,0,3.029254508,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Inhib_2020-09-28_10_Rep10,Rep10,2020-09-28,10,1,0.7527446288,0.471685439,2.702702703,2.310810811,0.3459459459,0.1035523479,0.1090780291,0.1129856448,0.05278981,1,0.3767091636,0.6,0,2.48343649,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
